time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z
1777994183.9113176,170,0.1304,0,-25.0853,0.0616,-3.3139,0.016590,0.0117,31.65,14.81,-9.49
1777994184.1675153,171,0.0988,1,-25.1989,0.0616,-3.2523,0.049727,0.0091,34.16,26.17,-16.48
1777994184.420695,172,0.0644,1,-32.2430,0.0616,-3.1906,0.072285,0.0054,40.03,39.68,-27.58
1777994184.712405,173,0.0364,1,-132.6334,0.0616,-3.1290,0.016787,0.0232,145.41,22.68,-164.62
1777994184.9586058,174,0.0238,1,-108.1238,0.0616,-3.0673,0.009855,0.0119,138.74,41.10,-149.58
1777994185.2212052,175,0.0217,1,-108.7840,0.0616,-3.0057,0.011680,0.0093,140.05,39.64,-151.38
1777994185.4866679,176,0.0208,1,-110.5404,0.0616,-2.9440,0.013550,0.0077,140.99,38.05,-152.92
1777994185.7753794,177,0.0202,1,-113.4264,0.0616,-2.8824,0.017405,0.0202,141.89,36.56,-154.34
1777994186.0161786,178,0.0200,1,-117.0368,0.0616,-2.8207,0.023869,0.0156,142.54,35.35,-155.37
1777994186.2976089,179,0.0198,1,-121.7145,0.0616,-2.7591,0.034192,0.0129,143.17,34.19,-156.30
1777994186.5546799,180,0.0197,1,-126.8382,0.0616,-2.6974,0.048323,0.0102,143.69,33.25,-157.02
1777994186.841002,181,0.0196,1,-132.0690,0.0616,-2.6358,0.066019,0.0211,144.14,32.49,-157.57
1777994187.1007144,182,0.0196,1,-137.0411,0.0616,-2.5741,0.086012,0.0226,144.50,31.91,-157.97
1777994187.3644166,183,0.0197,1,-141.3553,0.0616,-2.5125,0.106226,0.0209,144.77,31.53,-158.20
1777994187.6223521,184,0.0197,1,-144.8311,0.0616,-2.4508,0.124660,0.0089,144.95,31.32,-158.32
1777994187.902535,185,0.0197,1,-147.2062,0.0616,-2.3892,0.138404,0.0173,145.05,31.27,-158.33
1777994188.1474166,186,0.0196,1,-148.4423,0.0616,-2.3275,0.146255,0.0101,145.06,31.36,-158.24
1777994188.4276009,187,0.0196,1,-148.8283,0.0616,-2.2659,0.149354,0.0252,144.99,31.55,-158.08
1777994188.705922,188,0.0196,1,-148.5905,0.0616,-2.2042,0.148936,0.0249,144.86,31.86,-157.83
1777994188.966654,189,0.0196,1,-148.0838,0.0616,-2.1426,0.147178,0.0234,144.69,32.24,-157.52
1777994189.205868,190,0.0196,1,-148.0838,0.0616,-2.0809,0.000000,0.0000,144.68,32.22,-157.53
1777994189.4691005,191,0.0196,1,-148.0838,0.0616,-2.0193,0.000000,0.0000,144.66,32.22,-157.53
1777994189.7268262,192,0.0197,1,-148.0838,0.0616,-1.9576,0.000000,0.0000,144.64,32.22,-157.52
1777994190.0018492,193,0.0197,1,-148.0838,0.0616,-1.8960,0.000000,0.0000,144.62,32.22,-157.52
1777994190.2581267,194,0.0198,1,-148.0838,0.0616,-1.8343,0.000000,0.0000,144.60,32.22,-157.51
