time,window_index,r_w,is_singular,delta_w,b_w,delta_f_w,cost_val,opt_duration,angle_x,angle_y,angle_z
1778056526.334762,181,0.0197,1,-141.3575,0.1426,7.0090,0.106226,0.0419,144.77,31.53,-158.21
1778056526.6004682,182,0.0197,1,-504.8315,0.1426,7.1517,0.124660,0.0343,144.96,31.32,-158.32
1778056526.8591383,183,0.0197,1,-507.2062,0.1426,7.2943,0.138404,0.0336,145.05,31.27,-158.33
1778056527.1277237,184,0.0196,1,-508.4422,0.1426,7.4370,0.146255,0.0353,145.06,31.36,-158.24
1778056527.3896496,185,0.0196,1,-508.8283,0.1426,7.5796,0.149354,0.0328,144.99,31.55,-158.08
1778056527.6515703,186,0.0196,1,-508.5904,0.1426,7.7223,0.148936,0.0319,144.86,31.86,-157.83
1778056527.9342546,187,0.0196,1,-508.0836,0.1426,7.8649,0.147178,0.0374,144.69,32.24,-157.52
1778056528.1579967,188,0.0196,1,-508.0836,0.1426,8.0076,0.000000,0.0000,144.68,32.22,-157.53
1778056528.4203527,189,0.0196,1,-508.0836,0.1426,8.1502,0.000000,0.0000,144.66,32.22,-157.53
1778056528.6991432,190,0.0197,1,-508.0836,0.1426,8.2929,0.000000,0.0000,144.64,32.22,-157.52
1778056528.9559317,191,0.0197,1,-508.0836,0.1426,8.4355,0.000000,0.0000,144.62,32.22,-157.52
1778056529.2132287,192,0.0198,1,-508.0836,0.1426,8.5782,0.000000,0.0000,144.60,32.22,-157.51
